,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
s11,R,Y - ankle,21,M,Y,N,5,4,4,5,5,4,5,5,5,5,5,4,4,4,80,Y,3,3,3,3,3,3,4,2,2,2,50,60,Y,3,4,3,3,3,2,1,2,2,2,3,90,Y,3,3,3,3,3,2,2,2,2,2,4,95,Y,3,3,3,3,3,2,2,2,2,2,3,95,4,3,3,3,3,2,2,2,2,2,2,3,3,4,4
s12,R,N,25,M,Y,N,4,3,4,4,4,2,5,2,5,4,3,3,3,4,60,Y,4,3,4,3,3,4,2,2,1,2,60,60,Y,4,4,3,3,3,3,2,2,2,2,3,75,Y,4,4,3,3,3,3,1,2,2,2,3,90,Y,4,4,3,3,3,3,3,2,2,2,3,90,4,4,3,3,3,3,2,2,2,2,2,2,3,4,3
s13,R,N,26,M,N,N,4,3,4,4,4,5,5,5,5,4,4,4,4,4,70,Y,5,2,3,3,4,4,4,2,2,3,70,80,Y,5,3,3,3,4,4,3,2,2,1,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,5,3,4,3,4,4,3,2,2,1,3,100,5,3,3,3,4,4,3,2,2,1,3,3,3,2,4
s14,R,N,23,M,Y,N,4,4,4,5,5,4,2,5,2,3,3,3,3,3,50,Y,4,2,2,3,2,2,4,3,2,2,20,20,Y,4,2,3,3,2,3,4,2,2,2,2,30,Y,4,2,3,3,2,3,4,2,2,2,3,40,Y,4,2,3,3,2,3,4,2,2,2,3,50,3,3,3,3,3,3,4,2,2,3,2,3,2,3,3
s15,R,N,22,F,N,Y,5,4,4,4,5,3,5,5,5,4,5,2,3,3,70,Y,3,4,5,2,3,2,1,4,3,5,40,40,Y,4,5,5,2,3,2,1,4,3,2,5,90,Y,4,5,5,2,3,2,1,3,4,1,5,100,Y,4,5,4,2,3,2,4,3,4,1,1,100,4,5,4,2,3,2,2,3,4,1,1,3,4,4,4
s16,R,N,23,M,Y,N,5,3,4,3,4,4,5,5,1,3,4,4,3,2,70,Y,3,4,2,4,4,2,2,2,2,3,70,70,Y,3,5,4,4,4,2,2,2,2,1,4,90,Y,4,5,4,4,4,2,2,2,3,2,4,100,Y,4,5,4,4,4,2,1,2,2,1,4,100,4,4,5,3,4,1,1,2,2,1,4,2,3,4,4
s17,R,N,21,F,Y,N,4,3,4,2,5,5,5,2,5,4,2,3,3,3,80,Y,4,2,3,3,3,2,4,4,2,3,70,80,Y,4,3,4,3,3,2,3,4,3,2,3,90,Y,4,3,4,3,3,2,2,2,2,2,3,90,Y,4,3,4,3,3,3,2,2,2,2,3,90,4,3,3,2,3,3,2,2,2,2,3,3,3,3,3
s18,R,N,24,M,Y,N,3,2,2,2,4,5,5,5,5,4,2,4,4,2,0,Y,2,2,2,3,2,2,2,4,4,2,70,70,Y,3,2,2,3,2,2,2,4,3,2,2,80,Y,3,2,2,3,2,2,2,4,3,3,2,80,Y,3,2,1,3,2,1,2,4,3,2,2,70,3,2,2,3,2,2,2,4,3,2,2,3,3,3,2
s19,R,N,30,M,Y,N,4,1,1,3,5,3,2,5,5,4,4,4,4,5,50,Y,3,3,3,3,3,2,3,4,3,4,50,50,Y,3,3,3,3,3,3,2,3,3,1,4,100,Y,3,3,3,3,3,3,2,3,3,1,0,100,Y,3,3,3,3,3,3,2,3,3,2,4,100,3,3,3,3,3,1,4,3,3,1,4,3,4,3,2
s20,R,N,20,M,Y,N,4,2,2,3,4,2,2,5,5,5,3,3,4,2,0,Y,5,3,4,2,3,2,3,2,2,4,90,90,Y,5,4,4,2,3,2,2,2,2,2,4,95,Y,5,4,4,2,3,2,2,2,2,2,4,95,Y,5,4,4,2,3,2,2,2,2,2,4,95,5,4,4,2,3,2,2,2,2,2,4,3,3,3,3
s21,R,N,24,F,N,N,2,2,2,2,3,2,2,5,5,2,3,3,2,3,0,Y,4,3,3,3,3,2,2,3,2,4,70,65,Y,4,3,3,3,3,3,2,3,3,2,4,70,Y,4,3,3,3,2,2,2,3,3,2,0,70,Y,4,3,2,3,3,2,4,3,3,2,4,70,4,2,2,3,3,2,2,3,2,2,4,2,2,3,3
s22,L,N,27,M,N,N,4,3,3,3,4,3,5,5,5,3,3,4,4,3,80,Y,3,3,4,3,4,3,3,4,2,3,70,70,Y,4,4,4,4,4,3,2,2,2,2,4,80,Y,4,4,4,4,4,3,2,2,2,2,4,90,Y,4,4,4,4,4,3,2,2,2,2,4,100,4,4,5,4,4,4,3,2,2,2,4,2,3,3,3
s23,R,N,22,M,N,N,4,2,3,3,4,4,5,5,5,4,3,4,4,3,90,Y,4,2,3,3,2,1,4,2,2,4,60,80,Y,4,3,2,3,2,1,4,2,2,1,4,100,Y,4,2,3,3,2,1,4,2,2,1,4,100,Y,4,2,2,2,2,1,4,2,2,1,4,100,4,3,3,2,2,1,4,2,2,1,4,3,3,3,4
s24,R,N,20,M,Y,N,3,2,4,4,5,4,5,5,5,4,4,4,4,4,80,Y,4,4,4,4,4,4,2,3,3,3,60,60,Y,4,4,4,4,4,4,1,3,2,2,4,90,Y,4,3,3,4,4,4,3,3,3,2,3,90,Y,4,4,4,4,4,4,2,2,2,2,4,90,4,4,4,4,4,4,2,2,2,2,2,3,3,3,3
s25,R,N,25,M,N,N,5,2,5,5,5,5,1,5,5,4,3,3,5,4,70,Y,3,2,3,2,4,3,4,4,2,4,70,70,Y,2,4,5,4,5,4,1,4,4,2,4,80,Y,3,3,3,3,2,3,4,4,4,4,2,50,Y,4,4,2,2,4,2,4,4,4,4,2,50,4,3,2,2,2,2,4,4,4,2,2,3,4,4,2
s26,R,N,21,M,Y,N,5,5,4,4,4,3,5,5,5,3,4,3,3,4,75,Y,3,2,2,3,2,2,4,4,3,2,70,60,Y,3,3,3,3,3,3,3,3,2,2,4,80,Y,3,3,2,3,2,3,4,4,2,3,2,80,Y,3,2,3,3,3,3,2,3,2,2,4,100,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2
s27,R,N,21,M,Y,Y,4,4,3,3,4,2,5,1,5,4,3,3,3,2,70,Y,4,2,2,2,3,2,4,4,3,3,60,70,Y,4,3,2,2,3,2,4,2,2,2,3,90,Y,4,2,2,2,3,2,4,2,2,2,2,100,Y,4,2,2,2,2,2,4,2,2,2,3,100,4,2,2,2,2,2,4,2,2,1,3,3,3,3,3
s28,R,N,21,M,Y,N,5,3,4,4,5,4,5,5,5,3,4,4,3,3,80,Y,3,4,3,4,4,2,2,4,1,3,30,50,Y,3,4,3,3,3,2,2,3,3,2,3,80,Y,3,3,3,3,3,2,2,2,2,1,3,80,Y,3,2,3,3,3,2,4,2,2,2,3,90,3,2,2,3,2,2,3,3,3,2,4,3,3,4,2
s29,R,N,21,F,Y,N,4,3,3,4,5,2,5,2,5,4,4,3,4,2,60,Y,3,2,3,2,3,2,4,4,3,3,50,50,Y,3,3,3,2,3,2,3,2,2,2,3,50,Y,3,2,2,2,3,2,4,3,3,3,3,45,Y,3,2,2,2,3,2,4,3,3,2,2,40,3,3,3,2,3,2,3,3,3,2,2,3,3,2,3
s30,R,N,21,M,Y,N,5,4,4,4,5,1,5,5,5,4,4,2,2,5,70,Y,4,4,4,3,3,4,2,3,3,2,50,50,Y,4,4,4,4,4,3,2,3,3,2,4,70,Y,5,4,4,4,4,3,2,3,3,2,4,70,Y,4,4,4,4,4,3,3,3,3,2,4,90,4,4,4,4,4,3,3,2,2,2,4,3,4,4,2
s31,R,N,26,M,N,N,4,3,3,2,4,1,4,5,5,3,4,2,3,2,0,Y,5,2,2,2,3,2,4,4,3,2,50,80,Y,5,3,4,2,3,3,4,3,3,1,3,80,Y,5,2,2,2,3,3,2,4,3,3,0,70,Y,5,2,2,2,3,3,1,4,3,2,4,100,5,2,3,2,3,3,4,4,2,2,4,3,3,4,3
s32,R,N,21,M,Y,N,4,2,3,5,4,4,5,1,4,2,4,3,3,2,75,Y,4,2,4,4,3,2,3,2,2,4,60,70,Y,5,4,4,4,4,1,1,2,2,1,5,90,Y,4,4,4,4,3,1,1,2,2,1,4,70,Y,4,3,3,4,3,1,2,2,2,2,3,80,3,3,3,3,2,1,2,2,2,2,3,2,4,3,3
s33,R,N,23,F,Y,N,5,4,3,4,5,3,5,5,5,4,4,4,3,3,70,Y,4,3,3,3,3,2,4,4,3,3,70,70,Y,4,4,4,3,3,2,3,3,3,3,3,80,Y,4,4,4,3,3,2,3,3,3,3,3,90,Y,4,4,4,3,3,2,3,3,3,3,3,100,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3
s34,R,N,20,M,Y,N,4,4,4,5,5,3,2,5,5,4,3,3,3,2,70,Y,4,4,4,4,4,3,3,3,3,3,50,50,Y,4,4,4,3,3,3,2,3,3,3,3,80,Y,4,4,3,3,3,3,2,3,3,3,3,80,Y,4,4,3,3,3,3,3,3,3,3,3,90,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3
s35,R,N,20,F,Y,N,4,3,4,4,4,3,5,5,5,4,3,3,3,4,60,Y,4,4,4,3,3,4,3,4,2,3,50,50,Y,4,4,4,3,3,3,2,3,3,2,4,80,Y,4,4,4,3,3,3,3,3,3,2,3,80,Y,4,3,4,3,3,3,2,3,3,2,3,80,4,3,3,3,3,3,2,3,3,2,3,3,3,3,3
s36,R,N,28,M,N,N,4,4,5,4,5,5,5,5,5,5,4,5,5,5,80,Y,5,4,5,5,5,5,1,4,3,5,75,70,Y,5,4,5,5,5,5,1,3,3,4,5,70,Y,5,4,5,5,5,5,1,3,3,3,5,70,Y,5,5,5,5,5,5,1,3,3,3,5,70,5,4,5,5,5,5,1,3,3,3,5,3,3,3,3
s37,R,N,21,F,N,N,4,2,3,3,4,4,5,5,5,3,3,3,4,4,80,Y,4,4,4,5,5,3,1,4,3,3,60,65,Y,4,5,4,5,5,3,1,4,3,2,4,80,Y,4,5,4,5,5,3,1,3,3,1,4,90,Y,5,5,5,5,5,3,1,3,3,1,5,95,5,5,4,5,5,2,1,4,3,1,3,2,4,4,3
s38,R,N,21,F,Y,Y,3,2,2,2,3,5,5,5,5,4,4,2,3,2,50,Y,2,2,2,2,2,2,4,5,4,1,30,25,Y,3,2,2,2,2,2,4,4,4,3,3,60,Y,4,2,2,2,2,2,3,3,2,2,2,60,Y,4,2,2,2,1,2,3,3,3,2,2,50,3,3,2,2,2,2,3,3,3,3,3,3,3,4,2
s39,R,N,22,M,Y,N,4,3,4,3,5,3,5,5,5,4,3,2,3,4,0,Y,4,2,2,2,3,4,5,4,3,3,70,80,Y,4,4,3,3,3,4,3,3,3,3,3,70,Y,4,4,4,3,3,4,3,2,2,2,4,80,Y,3,3,2,2,3,4,4,3,3,2,2,100,4,4,5,4,4,4,1,2,2,2,4,3,4,4,3
s40,R,N,21,F,Y,N,4,4,3,3,5,3,4,5,5,3,3,3,3,3,0,Y,3,2,3,3,2,2,4,4,2,2,40,60,Y,3,2,3,3,2,2,3,3,3,2,3,70,Y,3,2,2,3,2,2,4,2,2,1,3,100,Y,3,2,2,3,2,1,4,3,3,1,3,100,3,2,3,3,3,2,4,3,3,1,3,3,3,4,4
s41,R,N,34,M,Y,Y,4,2,3,4,3,2,5,5,5,4,3,2,3,2,0,Y,4,2,3,3,2,1,2,3,3,2,60,70,Y,4,3,3,2,4,1,2,3,3,2,4,90,Y,3,2,3,2,3,1,,3,3,2,3,85,Y,3,2,3,1,3,1,4,3,3,2,4,85,4,2,2,1,2,1,2,3,3,2,4,3,3,3,3
s42,R,N,22,M,Y,N,4,2,2,3,5,1,5,5,5,4,2,2,2,2,50,Y,3,2,3,3,2,3,2,4,3,3,75,75,Y,3,2,2,3,2,3,2,4,2,2,3,80,Y,3,2,1,3,1,3,4,4,3,3,2,100,Y,3,1,2,3,1,3,4,3,3,2,2,100,3,1,1,2,1,3,5,5,4,4,2,2,3,3,3
s43,R,N,21,F,Y,N,3,2,3,3,5,3,5,5,5,4,2,3,3,2,60,Y,5,1,2,4,1,1,5,4,1,4,40,30,Y,5,1,1,4,1,1,5,2,2,2,4,80,Y,5,1,3,4,1,1,5,2,2,2,4,100,Y,4,1,1,4,1,1,5,3,3,1,1,60,3,1,1,2,1,1,4,2,2,1,2,3,3,4,4
s44,R,N,26,M,Y,N,5,1,3,5,5,2,2,5,5,4,4,3,5,4,0,Y,4,1,2,3,3,1,5,4,2,2,40,70,Y,4,1,3,3,3,1,5,2,2,2,4,50,Y,4,1,2,3,3,1,5,4,4,2,3,100,Y,3,1,2,3,2,1,5,3,3,2,2,50,3,5,4,3,2,1,5,4,4,2,4,3,4,1,3
s45,R,N,21,M,Y,N,5,4,4,4,5,5,5,2,5,4,4,5,5,4,70,Y,5,3,2,4,4,2,4,2,2,3,60,60,Y,4,4,3,4,4,2,3,3,3,2,2,70,Y,5,2,2,4,4,2,4,2,2,3,2,50,Y,4,4,3,4,4,2,4,4,2,2,3,70,4,4,4,4,4,2,1,4,2,2,4,2,3,4,2
s46,R,N,25,M,Y,N,5,5,5,5,5,4,5,5,5,5,5,5,5,5,70,Y,5,2,2,3,3,2,5,3,2,2,60,50,Y,3,3,3,4,4,4,3,3,3,2,4,60,Y,4,4,5,5,5,5,2,3,3,1,5,80,Y,5,5,5,5,5,5,2,3,3,2,4,90,5,5,5,5,5,5,1,3,3,1,5,3,4,2,3
s47,R,N,24,M,Y,N,4,2,2,2,4,5,1,5,4,4,4,4,4,4,50,Y,3,2,3,3,4,4,2,2,2,4,60,60,Y,4,5,5,4,4,4,,2,2,2,4,100,Y,3,3,4,3,3,3,3,2,2,2,4,100,Y,3,2,2,2,2,2,4,4,4,3,5,100,4,2,2,2,2,2,4,4,4,3,4,4,4,4,4
s48,R,Y - sorethroat,25,F,Y,N,5,3,4,4,5,5,5,5,5,3,4,4,4,3,80,Y,3,3,3,4,4,2,2,3,2,4,65,75,Y,4,5,5,4,4,2,1,3,3,1,5,85,Y,4,4,4,4,4,2,1,3,3,1,5,90,Y,4,4,4,3,4,2,1,3,3,1,5,100,4,3,3,3,3,2,1,3,3,1,4,2,4,4,3
s49,R,N,21,F,Y,N,4,2,3,5,5,4,5,5,5,4,4,4,4,4,80,Y,3,2,2,2,1,1,4,3,4,2,50,50,Y,3,2,2,2,2,1,4,4,3,4,3,50,Y,2,2,2,2,2,1,4,3,3,3,2,40,Y,3,3,3,3,2,2,3,2,2,3,3,60,3,3,4,3,3,2,3,3,3,2,3,4,3,4,3
s50,R,N,21,F,Y,N,4,2,3,4,5,2,3,5,5,4,3,2,3,3,70,Y,4,2,2,2,3,3,4,2,2,3,85,80,Y,4,4,2,2,3,3,4,2,2,2,3,70,Y,4,4,3,2,3,3,5,2,2,1,3,90,Y,4,3,3,2,3,3,5,2,2,2,3,100,4,2,3,2,3,3,4,2,2,1,3,3,3,3,4
s51,R,N,24,M,Y,Y,3,1,1,1,3,2,4,5,5,3,3,2,2,2,100,Y,4,2,2,2,2,3,5,2,1,2,60,60,Y,3,3,3,3,3,3,4,2,2,2,2,100,Y,3,3,3,3,3,3,3,2,2,2,2,100,Y,3,3,3,3,3,3,2,2,2,2,2,0,3,3,3,3,3,3,3,2,2,2,2,3,3,3,4
s52,L,N,22,M,Y,N,5,3,3,1,4,3,5,5,5,3,3,3,3,2,80,Y,2,2,2,3,3,2,2,2,1,3,50,70,Y,3,4,3,3,3,3,2,2,1,1,4,95,Y,3,3,3,3,3,3,2,1,1,1,4,98,Y,4,2,3,3,3,3,2,1,1,1,2,80,3,3,3,3,3,3,2,1,1,1,4,3,4,3,3
s53,R,N,24,M,Y,N,4,2,3,2,5,3,5,5,5,4,4,3,3,4,0,Y,4,4,3,3,3,3,4,4,2,3,0,0,Y,4,4,4,3,3,2,2,4,2,2,4,80,Y,4,4,4,3,3,2,2,2,2,2,4,100,Y,3,3,3,3,3,2,2,2,2,2,4,100,4,3,4,3,3,2,3,2,2,2,4,3,4,4,3
s54,R,N,24,M,N,N,4,3,3,4,5,3,5,5,5,5,3,3,3,3,0,Y,4,3,4,4,4,4,1,2,3,3,80,80,Y,3,3,3,4,4,3,,2,2,2,2,100,Y,4,3,4,4,4,4,3,2,2,2,2,80,Y,4,3,4,4,4,4,2,2,2,2,4,100,4,3,4,4,4,4,2,2,2,2,4,3,3,4,3
s55,R,N,26,M,Y,N,4,3,3,4,5,3,5,5,5,4,4,5,4,4,85,Y,4,4,4,5,3,3,1,4,2,5,70,80,Y,5,5,5,4,4,4,1,2,2,1,5,90,Y,4,4,5,5,4,4,2,2,2,1,5,95,Y,5,5,4,5,4,4,1,2,2,1,5,100,5,5,5,5,5,4,1,1,1,1,5,2,4,4,1
